0000 |0149-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-07|00FF-04|00FF-00|00FF-00|00FF-07|00FF-03|00FF-03|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|00FF-00|
0032 |00FF-00|0149-00|014A-00|010D-07|010C-05|0113-0C|0104-00|00FE-01|0145-00|013F-00|010C-06|0113-03|0113-03|0113-0A|0113-0C|0113-06|0113-02|0113-0C|0113-06|0113-02|011A-00|011C-00|0120-00|0122-00|011C-00|010C-0A|0113-02|013E-07|0113-06|010C-08|0118-04|011B-00|0122-00|011E-00|011E-00|0119-01|0119-02|0113-01|0113-0A|010C-07|010C-00|0113-08|0113-0B|0113-0A|0113-0A|0113-0B|0113-07|0113-01|0113-04|0113-0B|0113-04|0113-00|010C-00|010C-02|0185-00|0155-00|0186-00|010F-05|0110-01|010C-01|010C-0A|010C-08|010C-02|010C-07|010C-0B|010C-09|010C-01|00FD-00|0113-01|0113-07|0113-09|0113-0B|0113-03|0113-00|0113-09|0113-08|0113-04|0181-01|0181-00|0158-00|
0033 |00FF-00|0149-00|014C-00|010D-0A|010C-04|011B-00|0113-0A|0113-06|0113-06|0113-06|0113-0A|0113-00|0113-0B|0113-06|0113-0A|0113-0A|0113-02|0113-04|0113-0C|011A-00|011C-00|011A-00|011C-00|0118-03|010C-00|010C-06|0113-0A|013E-0B|0113-06|010C-04|0118-04|010C-0B|0120-00|0148-00|0121-00|010C-01|010C-05|0113-09|0113-02|010C-05|010C-03|0113-0C|0113-0B|0113-03|0113-0C|0113-00|0113-09|0113-02|0113-02|0113-0C|0113-04|0113-09|010C-0B|010C-06|0185-01|010E-07|010E-01|0110-0B|010C-03|010C-0A|010C-07|010C-02|010C-00|010C-08|010C-03|010C-06|010C-01|00FD-03|0113-00|0113-05|0113-0A|0113-0A|0113-04|0113-0C|0113-01|0113-09|0113-0A|0113-02|0181-01|0115-03|
0034 |00FF-00|0149-00|014C-00|010D-00|0113-06|010C-08|0113-08|0113-04|0113-0A|0113-02|0113-08|0113-0C|0113-02|0113-02|0113-05|0113-00|0113-07|0113-0A|011A-00|011C-00|011A-00|011C-00|011A-00|011C-00|010C-09|0113-08|0113-06|013E-00|0113-0C|010C-0A|0118-04|010C-0B|0120-00|011F-00|0122-00|011E-00|010C-07|0113-0A|0113-0C|0113-0A|0113-09|0113-09|0113-01|0113-08|0113-03|0113-00|0113-0B|0113-03|0113-0C|0113-03|0113-05|0113-09|010C-05|010C-0B|010C-00|010C-06|010C-04|010C-08|010C-05|010C-02|010C-02|010C-0B|010C-05|010C-02|010C-09|010C-07|010C-03|00FD-04|0113-0B|0113-03|0113-0B|0113-04|0113-09|0113-00|0113-01|0113-05|0113-04|0113-07|0113-02|0113-08|
0035 |00FF-00|0149-00|014A-00|010D-0B|010C-02|0184-00|015E-00|0183-00|0183-01|0113-09|0113-04|0113-05|0113-06|0113-03|0113-00|0113-09|0113-05|011A-00|011C-00|011A-00|011C-00|011A-00|011C-00|010C-0B|0113-07|010C-01|0113-03|013E-06|0113-0B|010C-0A|0118-04|010C-03|0118-05|010C-05|0120-00|0122-00|0119-04|011E-00|0119-05|0119-00|0119-03|0113-03|0113-02|0113-02|0113-03|0113-03|0113-08|0113-03|0113-0C|0113-0C|0113-09|0113-0A|010C-08|010C-01|010C-05|010C-0B|010C-08|010C-06|010C-0B|010C-01|010C-0B|010C-0A|010C-09|010C-03|010C-01|010C-02|010C-06|00FD-01|0113-07|0113-0A|0113-06|0113-02|0113-03|0113-09|0113-02|0113-00|0113-06|0113-04|0113-0A|0113-09|
0036 |00FF-00|0149-00|014C-00|010D-09|010C-04|014D-00|0149-00|014A-00|0114-03|0113-0A|0113-07|0113-00|0113-00|0113-03|0113-07|0113-01|0113-08|0120-00|011E-00|011C-00|011A-00|011C-00|0118-01|0113-01|010C-04|010C-03|0113-06|013E-03|0113-06|010C-0A|0118-01|010C-05|0118-01|010C-03|010C-08|0118-05|0122-00|0118-02|0113-05|0113-07|0113-05|0113-04|0113-06|0113-09|0113-0B|0113-02|0113-0B|0113-09|0113-00|0113-07|0113-06|0113-06|010C-09|010C-0B|010C-0A|010C-0A|010C-07|010C-06|010C-08|010C-06|010C-08|010C-02|010C-01|010C-05|010C-00|010C-05|010C-09|00FD-05|0113-09|0113-02|0113-02|0113-01|0113-07|0113-0A|0113-0B|0113-03|0113-07|0113-06|0113-07|0113-05|
0037 |00FF-00|0149-00|015B-00|010D-06|010C-01|0153-00|0149-00|014C-00|0114-02|0113-07|0113-01|0113-05|0113-08|0113-09|0113-05|0113-06|011A-00|0120-00|011C-00|011A-00|011C-00|0113-0C|0120-00|011E-00|0119-07|0113-07|0113-0B|0118-04|0113-04|0113-0B|0118-01|0113-00|0113-0C|0113-02|0113-03|0120-00|0119-06|0122-00|011D-00|0113-03|0113-00|0113-0A|0113-09|0113-04|0113-03|0113-09|0113-04|0113-02|0113-02|0113-06|0113-03|0113-02|010C-02|010C-09|010C-0B|013F-01|013F-09|010C-0A|010C-03|013F-01|010C-02|010C-02|010C-0B|013F-0B|013F-04|013F-07|013F-09|00FD-04|013F-09|013F-01|013F-01|013F-09|013F-08|013F-08|013F-01|013F-0B|013F-00|013F-02|013F-0B|013F-04|
0038 |00FF-00|0149-00|015C-00|010D-00|010C-07|014B-00|0149-00|014C-00|0114-05|0119-05|0119-02|0119-00|0119-07|0119-02|0119-00|011E-00|011E-00|0121-00|011A-00|011C-00|0113-0C|0113-05|0118-01|0118-01|0113-00|0113-06|0113-0C|0118-03|0113-0A|0113-00|0113-09|0113-03|0113-0C|0113-05|0113-0C|0118-05|0113-00|011B-00|011C-00|0113-0B|0113-01|0113-0C|0113-0C|0113-0B|0113-0C|0113-09|0113-09|0113-03|0113-07|0113-0C|0113-04|010C-08|010C-04|010C-00|010C-03|010C-0A|010C-05|010C-01|010C-00|010C-09|010C-07|010C-01|010C-09|010C-09|010C-0A|010C-06|010C-0A|00FD-00|0113-03|0113-03|0113-0A|0113-00|0113-06|0113-02|0113-04|0113-01|0113-06|0113-08|0113-03|0113-03|
0039 |00FF-00|0149-00|0150-00|010D-09|010C-04|0151-00|0149-00|015B-00|0114-09|0113-08|0113-07|0113-08|0113-0C|0113-02|0113-0A|0120-00|011C-00|0120-00|011C-00|0113-01|0113-02|0113-0C|0113-02|0113-07|010C-08|010C-08|010C-09|00FD-03|010C-05|010C-01|010C-03|010C-02|010C-0A|010C-0A|0113-0A|0118-02|0113-0A|0113-0B|0113-03|0113-00|0113-02|0113-0C|0113-0C|0113-04|0113-05|0113-08|0113-0B|0113-08|0113-09|0113-09|010C-08|010C-09|010C-0B|010C-02|010C-0A|010C-01|010C-04|010C-02|010C-09|010C-0A|010C-0B|010C-0B|010C-05|010C-04|010C-09|010C-07|010C-0B|00FD-02|0113-0C|0113-05|0113-0A|0113-0C|0113-0A|0113-0A|0113-06|0113-04|0113-00|0113-06|0113-02|0113-01|
0040 |00FF-00|0149-00|014E-00|010D-0B|010C-00|014D-00|0149-00|015C-00|0114-05|0113-02|0113-00|0113-09|0113-04|0113-04|011A-00|011C-00|011A-00|011C-00|0113-01|0113-00|0113-04|0113-00|0113-06|0118-02|010C-08|0140-00|013F-09|0108-00|0143-00|010C-0B|010C-05|010C-00|010C-08|010C-08|0113-07|0118-01|0113-04|0113-08|0113-0C|0113-09|0113-08|0113-03|0113-01|0113-03|010C-07|0113-04|0113-07|0113-03|0113-00|010C-0B|010C-03|010C-06|010C-09|010C-04|010C-07|010C-0B|010C-06|010C-02|010C-09|010C-09|010C-0B|010C-08|010C-05|010C-06|010C-09|010C-06|010C-02|00FD-04|0113-00|0113-09|0113-0B|0113-0C|0113-04|0113-0C|0113-0C|0113-09|0113-0B|0113-08|0113-02|0113-0B|
0041 |00FF-00|0149-00|014A-00|010D-00|010C-0A|0153-00|0149-00|0150-00|0114-01|0113-02|0113-03|0113-07|0113-0C|011A-00|011C-00|011A-00|011C-00|0113-0A|0113-03|0113-06|0113-09|0113-09|0118-05|0118-02|010C-06|013E-09|011A-00|011D-00|013E-09|010C-02|0113-03|0113-0B|0113-04|0113-04|0113-03|0113-07|0113-04|0113-0B|0113-02|0113-02|0113-09|0113-04|0113-0C|0113-05|010C-02|0113-06|0113-01|0113-09|010C-01|010C-0A|010C-08|010C-0B|013E-0B|010C-01|010C-02|010C-0A|010C-00|010C-07|010C-05|010C-07|010C-02|010C-04|010C-0A|010C-05|010C-02|010C-01|010C-06|00FD-05|0113-0A|0113-05|0113-07|0113-0C|0113-00|0113-0C|0113-02|0113-02|0113-0C|0113-06|0113-07|0113-00|
0042 |00FF-00|0149-00|018A-00|010D-0B|010C-0A|014F-00|0149-00|0150-00|0114-06|0113-00|0113-0C|0113-05|011A-00|011C-00|011A-00|011C-00|0113-04|0113-0C|0113-0C|0113-0A|0113-06|0113-0B|0118-05|0118-03|010C-0B|013E-07|011B-00|011C-00|013E-05|010C-0B|0113-03|0113-00|0113-03|0113-01|0113-05|0113-04|0113-02|0113-09|0113-06|0113-06|0113-07|0113-00|010C-01|010C-01|010C-05|0113-08|0113-01|010C-09|010C-0A|010C-06|010C-08|010C-0A|010C-00|010C-07|010C-00|010C-0A|010C-03|010C-08|010C-08|010C-06|010C-00|010C-06|010C-00|010C-04|010C-05|010C-0B|010C-09|00FD-02|0113-07|0113-08|0113-0C|0113-09|0113-08|0113-0C|0113-05|0113-08|0113-08|0113-0C|0113-04|0113-06|
0043 |00FF-00|0149-00|015B-00|010D-0A|010C-02|014D-00|0149-00|014A-00|0114-03|0113-08|0113-08|011A-00|011C-00|011A-00|011C-00|0113-02|0113-00|0113-02|0113-05|0113-04|0113-0B|0113-06|0113-06|0118-00|010C-05|0141-00|013F-0B|013F-01|0142-00|010C-0B|0113-0B|0113-09|0113-0C|0113-0B|0113-09|0113-07|0113-0C|0113-0A|0113-07|0113-06|0113-0C|0113-0A|010C-05|0122-00|010C-07|0113-0A|010C-00|010C-0A|010C-05|010C-04|010C-07|010C-05|010C-06|010C-04|010C-0B|010C-08|010C-07|010C-04|010C-06|010C-0A|010C-08|010C-04|010C-05|010C-01|010C-05|010C-00|010C-09|00FD-02|0113-09|0113-01|0113-01|0113-04|0113-06|0113-06|0113-02|0113-08|0113-06|0113-05|0113-04|0113-09|
0044 |00FF-00|0149-00|015C-00|010D-00|010C-06|0153-00|0149-00|014C-00|0114-02|0113-03|011A-00|011C-00|011A-00|011C-00|0113-06|0113-02|0113-0B|0113-01|0113-0C|0113-03|0113-02|0113-0B|0113-04|0113-0B|010C-02|010C-07|010C-00|010C-09|010C-0A|010C-04|0113-0A|0113-06|0113-08|0113-07|0113-04|0113-0A|0113-0B|0113-08|0113-0B|0113-0C|010C-07|010C-09|010C-04|010C-03|010C-06|010C-05|010C-02|010C-09|010C-02|010C-09|010C-08|010C-0B|010C-06|010C-00|010C-05|010C-09|010C-03|010C-08|010C-03|010C-00|010C-05|010C-0B|010C-05|010C-08|010C-01|010C-0A|010C-05|00FD-01|0113-03|0113-07|0113-09|0113-00|0113-01|0113-00|0113-07|0113-03|0113-08|0113-06|0113-00|0113-09|
